Category Name,Average Lead Level (ppb)
turmeric powder,1274.4872351160445
dry garlic chutney,289.0
achar masala hot n spicy,43.2
caribbean blue island spices,347.0
dried orange peel,241.0
tequesquite,6203.333333333333
ramirezproduce tierra santa holy,4625.0
instant ginger punch salabat,
nettle,
dry ajika,83.4
highland harvested saigon,180.0
kawu kawu/potash,1340.0
corriander,92.1
panax notoginseng,509.0
flor de jamaica,682.0
tilo (linden flower),128.0
marque guyanese pride ground,234.0
blue mountain county oxtail,202.0
salvia-sage,1750.0
mango pickle spice,88.6
egusi grounded,128.0
kaun/potash,725.0
triguisar,61.6
bhut jolokia,619.0
bouillon saveur epices spices,
shab,309.0
aji-no-moto (msg),
nanami togarashi,108.0
el capitan bbq rub,135.45
shami kabab,258.0
lahori charga,169.0
aaloo bhaji,116.0
nihari,134.0
kunna,150.0
ras el hanout,129.0
radhuni,95.1
cilantro,86.8
savory,24.2
kelewele (fried plantains),654.0
spices of the world,92.3
memphis style bbq,96.7
binjipai hometown flavor dried,403.0
somac,60.75
azafran flor safflower,288.0
kelp granules,327.0
clover valley cajun,71.8
ginger china powdered #1,265.0
organic sea kelp delight seasoning,217.0
tamarind,51.395
himalayan pink salt,128.43333333333334
pork rub,84.6
khichuri mix,30.4
turmetic powder ( pouder de,38.6
aji peruano,420.0
sazon culantro & achiote,32.5
cassava,132.0
georgian dry spices,374.0
menudo mix chile,442.0
palenque spanish chorizo,139.0
yellow coloring,30.2
mecit alpdogan sumak,692.0
gb salt with spices and,
javantri whole (mace,79.65
shrimp powder-maesri,107.0
hard shrimp paste,212.0
prabhu timur sichuan,382.0
pashupati lapsi powder,1770.0
sophora japonica l,460.0
mean gator cajun,142.0
vegeta,
jaifal powder (nutmeg),21.0
mint,173.0
karela powder (bitter,385.0
kamis kurczaka,82.3
soro wisa/piper guineense,64.9
three rivers ground,403.0
kutchry dum qeema masala,1320.0
pav bhaji masala,255.0
