LAB_NUMBER	FL_NUMBER	COLDATE	PRODUCT_NAME	BRAND	ANALYTE	RESULT	Unit
19C04253	1937330018	11/20/2019	Achar Masala Mild	Swad	CADMIUM	36.9	ppb
19C04253	1937330018	11/20/2019	Achar Masala Mild	Swad	LEAD	42.8	ppb
19C04254	1937330019	11/20/2019	Achar Masala Hot n Spicy	Swad	ARSENIC	none found	ppb
19C04254	1937330019	11/20/2019	Achar Masala Hot n Spicy	Swad	CADMIUM	37.5	ppb
19C04254	1937330019	11/20/2019	Achar Masala Hot n Spicy	Swad	LEAD	43.6	ppb
19C04278	1938450022	11/22/2019	Dry garlic chutney	Deep	ARSENIC	none found	ppb
19C04278	1938450022	11/22/2019	Dry garlic chutney	Deep	CADMIUM	44.2	ppb
19C04278	1938450022	11/22/2019	Dry garlic chutney	Deep	LEAD	200	ppb
19C04279	1938450024	11/22/2019	Pickle masala	Swan	ARSENIC	14.8	ppb
19C04279	1938450024	11/22/2019	Pickle masala	Swan	CADMIUM	34.5	ppb
19C04279	1938450024	11/22/2019	Pickle masala	Swan	LEAD	62.2	ppb
19C04379	1937060033	12/4/2019	Ground cumin	Spice supreme	ARSENIC	135	ppb
19C04379	1937060033	12/4/2019	Ground cumin	Spice supreme	CADMIUM	71.9	ppb
19C04379	1937060033	12/4/2019	Ground cumin	Spice supreme	LEAD	261	ppb
19C04380	1939570012	12/3/2019	Garam Masala	Eastern Fruits &	ARSENIC	53.3	ppb
19C04380	1939570012	12/3/2019	Garam Masala	Eastern Fruits &	CADMIUM	106	ppb
19C04380	1939570012	12/3/2019	Garam Masala	Eastern Fruits &	LEAD	247	ppb
19C04381	1939570013	12/3/2019	Cinnamon Powder	Eastern Fruits &	ARSENIC	28.2	ppb
19C04381	1939570013	12/3/2019	Cinnamon Powder	Eastern Fruits &	CADMIUM	216	ppb
19C04381	1939570013	12/3/2019	Cinnamon Powder	Eastern Fruits &	LEAD	341	ppb
19C04431	1939640022	12/10/2019	Turmeric Powder	Ran hog Fods	ARSENIC	12.9	ppb
19C04431	1939640022	12/10/2019	Turmeric Powder	Ran hog Fods	CADMIUM	11.6	ppb
19C04431	1939640022	12/10/2019	Turmeric Powder	Ran hog Fods	LEAD	27.7	ppb
19C04451	1938320038	12/16/2019	Dried Five Spice Seasoning Powder	Star Seasonings	ARSENIC	566	ppb
19C04451	1938320038	12/16/2019	Dried Five Spice Seasoning Powder	Star Seasonings	CADMIUM	123	ppb
19C04451	1938320038	12/16/2019	Dried Five Spice Seasoning Powder	Star Seasonings	LEAD	2400	ppb
19C04568	1937050094	12/20/2019	Natural Oregano	Soy Dominicano	ARSENIC	105	ppb
19C04568	1937050094	12/20/2019	Natural Oregano	Soy Dominicano	CADMIUM	69.3	ppb
19C04568	1937050094	12/20/2019	Natural Oregano	Soy Dominicano	LEAD	284	ppb
19C04571	1939550020	12/16/2019	Dried chili	Imported name	ARSENIC	42.2	PPB
19C04571	1939550020	12/16/2019	Dried chili	Imported name	CADMIUM	152	PPB
19C04571	1939550020	12/16/2019	Dried chili	Imported name	LEAD	107	PPB
19C04573	1939650032	12/16/2019	Five-Spice Powder		ARSENIC	262	PPB
19C04573	1939650032	12/16/2019	Five-Spice Powder		CADMIUM	174	PPB
19C04573	1939650032	12/16/2019	Five-Spice Powder		LEAD	2140	PPB
