LAB_NUMBER	FL_NUMBER	COLDATE	PRODUCT_NAME	BRAND	ANALYTE	RESULT	Unit
14C00080	318848	1/7/2014	Meat Tenderizer	MIMI'S PRODUCTS	CADMIUM	none found	PPB
14C00080	318848	1/7/2014	Meat Tenderizer	MIMI'S PRODUCTS	LEAD	none found	PPB
14C00081	318849	1/7/2014	TURMERIC POWDER	MIMI'S PRODUCTS	ARSENIC	232	PPB
14C00742	372124	3/11/2014	EXTRA HOT CHILI POWDER	MAYA	LEAD	115	PPB
14C00743	372125	3/11/2014	RED CHILI POWDER	THREE RIVERS	LEAD	113	PPB
14C00745	381877	3/11/2014	PAPRIKA	MAYA	LEAD	179	PPB
14C00746	381878	3/11/2014	TURMERIC POWDER	IBCO GRAND	LEAD	445	PPB
14C00747	381879	3/11/2014	PURE TURMERIC POWDER	ACI	LEAD	146000.0	PPB
14C00748	381880	3/11/2014	SUMAC POWDER	THREE RIVERS	LEAD	478	PPB
14C00750	381902	3/12/2014	CHILI POWDER	RADHUNI	LEAD	151	PPB
14C00753	381905	3/12/2014	BLACK CUMIN	BASAK	LEAD	29.5	PPB
14C00754	381906	3/12/2014	TURMERIC POWDER	PRAN	LEAD	52800.0	PPB
14C00755	381907	3/12/2014	CURRY POWDER	TROPICAL HEAT	LEAD	303	PPB
14C00756	381908	3/12/2014	CURRY POWDER EX. HOT	DURBAR	LEAD	272	PPB
14C00757	381909	3/12/2014	PAV BHAJI MASALA	KOHINOOR	LEAD	255	PPB
14C00759	381911	3/12/2014	CHILI POWDER	BOT OT	LEAD	1040	PPB
14C00760	381912	3/12/2014	KUTCHRY DUM QEEMA MASALA	AHMED	LEAD	1320	PPB
14C00761	381913	3/12/2014	CHANA MASALA	AHMED	LEAD	485	PPB
14C00762	381914	3/12/2014	CURRY POWDER	BOLSTS	LEAD	198	PPB
14C00943	381917	3/26/2014	HUNGARIAN PAPRIKA	ARCHER FARMS	ARSENIC	57.3	PPB
14C00943	381917	3/26/2014	HUNGARIAN PAPRIKA	ARCHER FARMS	CADMIUM	67.4	PPB
14C00943	381917	3/26/2014	HUNGARIAN PAPRIKA	ARCHER FARMS	LEAD	73.9	PPB
14C01067	372798	4/9/2014	STERILIZED PAPRIKA		ARSENIC	60.9	PPB
14C01067	372798	4/9/2014	STERILIZED PAPRIKA		CADMIUM	77.6	PPB
14C01067	372798	4/9/2014	STERILIZED PAPRIKA		LEAD	221	PPB
14C01068	374195	4/9/2014	SWEET PAPRIKA	ANTEPU	ARSENIC	108	PPB
14C01068	374195	4/9/2014	SWEET PAPRIKA	ANTEPU	CADMIUM	203	PPB
14C01068	374195	4/9/2014	SWEET PAPRIKA	ANTEPU	LEAD	1330	PPB
14C01940	381976	6/27/2014	TUMERIC	LA FLOR	LEAD	1140	PPB
14C02262	381854	7/30/2014	RED PAPRIKA	ABIDO	ARSENIC	90.2	PPB
14C02262	381854	7/30/2014	RED PAPRIKA	ABIDO	CADMIUM	238	PPB
