Test date	Product name	Brand	Testing for	Result (ppb)
1/7/2014	turmeric powder	mimi's products	arsenic	232
3/26/2014	hungarian paprika	archer farms	arsenic	57.3
4/9/2014	sterilized paprika		arsenic	60.9
4/9/2014	sweet paprika	antepu	arsenic	108
7/30/2014	red paprika	abido	arsenic	90.2
7/30/2014	cumin seed powder	pran	arsenic	171
11/7/2014	spice pouch	court brand	arsenic	331
11/19/2014	cumin powder	radhuni	arsenic	42.3
11/26/2014	chilly powder	eastern kashmiri	arsenic	22.1
11/24/2014	noors chili powder	noors	arsenic	45.9
12/12/2014	black salt	america's best	arsenic	33
12/15/2014	cumin	geerc	arsenic	20.7
1/26/2015	jeera cumin powder	america's best	arsenic	688
1/29/2015	saffron (kasubha)	sunrise foods	arsenic	9070.0
2/2/2015	dried chilli powder	chengdu shizilou	arsenic	54
2/20/2015	extra hot chilli powder	maya	arsenic	31.4
2/20/2015	red chili powder	three rivers	arsenic	19.2
2/20/2015	paprika	rose brand	arsenic	1210.0
2/20/2015	garam masala	maya	arsenic	145
2/20/2015	garam masala	mtr	arsenic	106
2/24/2015	dried foeniculum (anise)	golden lion	arsenic	498
3/9/2015	curry powder	america's best	arsenic	172
3/5/2015	pure pickle masala	deep	arsenic	16
3/5/2015	chilli powder extra hot	apna bazar	arsenic	72.1
3/5/2015	himalayan pink salt	nirwana	arsenic	20.8
3/5/2015	black salt	maya	arsenic	267
3/6/2015	black salt	maya	arsenic	240
3/6/2015	lalah's madras curry	fortune brand	arsenic	74.2
4/28/2015	oregano natural en polvo	soy dominicano	arsenic	49.6
5/20/2015	malathy powder	three rivers	arsenic	524
6/4/2015	madras curry	taj madrassee	arsenic	32
6/19/2015	paprika	spice classics	arsenic	185
6/23/2015	hawla massala	maywah	arsenic	58.3
7/9/2015	paprika	three rivers	arsenic	91.9
7/15/2015	ground cumin	mimi's products	arsenic	133
8/3/2015	turmeric powder	deer brand	arsenic	42.4
9/23/2015	tumeric powder	radhuni	arsenic	61.8
9/23/2015	red pepper nice tasty	original gold	arsenic	37.2
9/28/2015	tumeric	indo-west indian	arsenic	16.0
11/30/2015	cumin powder	nature's nurture	arsenic	153
12/3/2015	turmeric powder	maya	arsenic	28.8
12/14/2015	cumin ground	abido	arsenic	67.8
12/21/2015	ground turmeric	fresh finds	arsenic	32.5
12/30/2015	ground chiltepin pepper	abarrotera	arsenic	28.5
12/30/2015	flor de jamaica	la mixteca	arsenic	48.6
1/5/2016	ground paprika	three rivers	arsenic	89.8
1/5/2016	ground garlic	three rivers	arsenic	47.9
1/26/2016	cumin powder	laxmi brand	arsenic	80.9
2/17/2016	tamarind flavor lollipop	delicios de	arsenic	16.5
3/3/2016	chili powder	radhuni	arsenic	87.1
3/3/2016	curry powder	radhuni	arsenic	135
3/8/2016	turmeric	hoque	arsenic	20.7
3/17/2016	chilli powder	bhavani	arsenic	23.1
4/11/2016	chili powder (spice/salt blend)	luzerne market	arsenic	31.2
