Test date	Product name	Brand	Testing for	Result (ppb)
1/7/2014	meat tenderizer	mimi's products	cadmium	none found
3/26/2014	hungarian paprika	archer farms	cadmium	67.4
4/9/2014	sterilized paprika		cadmium	77.6
4/9/2014	sweet paprika	antepu	cadmium	203
7/30/2014	red paprika	abido	cadmium	238
7/30/2014	cumin seed powder	pran	cadmium	55.7
11/7/2014	spice pouch	court brand	cadmium	280
11/19/2014	cumin powder	radhuni	cadmium	51.2
11/26/2014	chilly powder	eastern kashmiri	cadmium	36.8
11/24/2014	noors chili powder	noors	cadmium	86.6
12/12/2014	black salt	america's best	cadmium	none
12/15/2014	cumin	geerc	cadmium	54.2
1/26/2015	jeera cumin powder	america's best	cadmium	56.2
1/29/2015	saffron (kasubha)	sunrise foods	cadmium	95.1
2/2/2015	dried chilli powder	chengdu shizilou	cadmium	72
2/5/2015	ground cinnamon	stone ground	cadmium	199
2/20/2015	extra hot chilli powder	maya	cadmium	107
2/20/2015	red chili powder	three rivers	cadmium	91.8
2/20/2015	paprika	rose brand	cadmium	3820.0
2/20/2015	garam masala	maya	cadmium	59.1
2/20/2015	garam masala	mtr	cadmium	46.4
2/24/2015	dried foeniculum (anise)	golden lion	cadmium	60
3/9/2015	curry powder	america's best	cadmium	31.8
3/5/2015	pure pickle masala	deep	cadmium	27
3/5/2015	chilli powder extra hot	apna bazar	cadmium	91.8
3/5/2015	himalayan pink salt	nirwana	cadmium	none
3/5/2015	black salt	maya	cadmium	none
3/6/2015	black salt	maya	cadmium	none found
3/6/2015	lalah's madras curry	fortune brand	cadmium	37.4
4/28/2015	oregano natural en polvo	soy dominicano	cadmium	none
5/20/2015	malathy powder	three rivers	cadmium	none
6/4/2015	madras curry	taj madrassee	cadmium	197
6/12/2015	chilli powder (hot)	maya foods	cadmium	91.4
6/19/2015	paprika	spice classics	cadmium	67.7
6/23/2015	hawla massala	maywah	cadmium	69.2
7/9/2015	chilli powder extra hot	charminar	cadmium	35.4
7/9/2015	paprika	three rivers	cadmium	213
7/15/2015	ground cumin	mimi's products	cadmium	89.5
8/3/2015	turmeric powder	deer brand	cadmium	27.9
7/24/2015	chilli powder	rehmat	cadmium	71.4
9/23/2015	tumeric powder	radhuni	cadmium	40.2
9/23/2015	red pepper nice tasty	original gold	cadmium	121
9/28/2015	tumeric	indo-west indian	cadmium	none
11/30/2015	cumin powder	nature's nurture	cadmium	70.6
12/3/2015	turmeric powder	maya	cadmium	28.8
12/14/2015	ground cinnamon	toros	cadmium	220
12/14/2015	cumin ground	abido	cadmium	69.8
12/21/2015	ground turmeric	fresh finds	cadmium	none
12/23/2015	pretzel salt		cadmium	none
12/30/2015	ground chiltepin pepper	abarrotera	cadmium	70.2
12/30/2015	flor de jamaica	la mixteca	cadmium	126
1/5/2016	ground paprika	three rivers	cadmium	44.7
